Bijele	24062	14818	62%	0.00	13196	12773	97%	1.3	
Bela	8466	5695	67%	0.00	5340	5201	97%	1.3	
Batter Up	10528	6773	64%	0.00	6286	6089	97%	1.3	
Avion	4405	2495	57%	0.00	2389	2298	96%	1.3	
Alphabet Spam	10329	6446	62%	0.00	5449	5237	96%	1.3	
Homework	1588	1507	95%	0.00	1108	1105	100%	1.1 - 1.4	
Reverse	2944	2320	79%	0.00	1622	1586	98%	1.2 - 1.4	
Zamka	12977	7613	59%	0.00	7062	6811	96%	1.4	
Trik	17744	10245	58%	0.00	9662	9285	96%	1.4	
Transit Woes	2750	1714	62%	0.00	1594	1540	97%	1.4	
The Amazing Human Cannonball	5364	3428	64%	0.00	3307	3189	96%	1.4	
Stand on Zanzibar	4515	3185	71%	0.00	3123	3014	97%	1.4	
Spavanac	21579	11699	54%	0.00	10963	10553	96%	1.4	
Simon Says	16614	8722	52%	0.00	8070	7617	94%	1.4	
Seven Wonders	12158	6685	55%	0.00	6304	6042	96%	1.4	
Reversed Binary Numbers	17202	10539	61%	0.00	9160	8723	95%	1.4	
Railroad	4742	3123	66%	0.00	2992	2876	96%	1.4	
Quick Estimates	10693	6034	56%	0.00	5631	5361	95%	1.4	
Provinces and Gold	4870	2784	57%	0.00	2685	2591	96%	1.4	
Parking	5107	3479	68%	0.00	3339	3212	96%	1.4	
Odd Man Out	11947	6900	58%	0.00	5956	5653	95%	1.4	
Number Fun	10869	5775	53%	0.00	5050	4813	95%	1.4	
No Duplicates	10557	5961	56%	0.00	5394	5170	96%	1.4	
License to Launch	5864	3536	60%	0.00	3176	3053	96%	1.4	
Ladder	15182	8743	58%	0.00	8188	7875	96%	1.4	
Judging Moose	13790	6897	50%	0.00	6286	6044	96%	1.4	
Job Expenses	5277	2942	56%	0.00	2724	2590	95%	1.4	
Janitor Troubles	2241	1574	70%	0.00	1513	1464	97%	1.4	
I've Been Everywhere, Man	16171	10266	63%	0.00	9346	8966	96%	1.4	
Help a PhD candidate out!	5855	3371	58%	0.00	3243	3078	95%	1.4	
Forced Choice	482	358	74%	0.00	342	331	97%	1.4	
Final Exam	1577	1124	71%	0.00	1078	1032	96%	1.4	
Estimating the Area of a Circle	4678	2954	63%	0.00	2833	2697	95%	1.4	
Encoded Message	5465	3657	67%	0.00	3165	3043	96%	1.4	
DRM Messages	4388	2859	65%	0.00	2617	2501	96%	1.4	
Detailed Differences	11893	6281	53%	0.00	5669	5469	96%	1.4	
Datum	6820	4214	62%	0.00	4064	3939	97%	1.4	
Cudoviste	2593	1890	73%	0.00	1817	1757	97%	1.4	
Cryptographer's Conundrum	11387	7031	62%	0.00	6316	6094	96%	1.4	
Boat Parts	3834	2283	60%	0.00	2163	2075	96%	1.4	
Beavergnaw	2412	1658	69%	0.00	1607	1556	97%	1.4	
Apaxiaaaaaaaaaaaans!	16480	9863	60%	0.00	8805	8407	95%	1.4	
Weak Vertices	5388	3432	64%	0.00	2778	2653	96%	1.5	
Tetration	2507	1408	56%	0.00	1248	1209	97%	1.5	
Tai's formula	2824	1617	57%	0.00	1509	1447	96%	1.5	
Quick Brown Fox	12761	6695	52%	0.00	6155	5758	94%	1.5	
Ptice	6002	3380	56%	0.00	3005	2860	95%	1.5	
Mjehuric	4135	2261	55%	0.00	2098	1991	95%	1.5	
Line Them Up	10624	5620	53%	0.00	5087	4758	94%	1.5	
Kornislav	5395	3763	70%	0.00	3637	3508	96%	1.5	
Hanging Out on the Terrace	6701	3896	58%	0.00	3752	3634	97%	1.5	
Digit Product	1619	937	58%	0.00	905	848	94%	1.5	
Closing the Loop	3987	2286	57%	0.00	1977	1897	96%	1.5	
Bus	4284	2408	56%	0.00	2382	2222	93%	1.5	
Aaah!	34431	16062	47%	0.00	14434	13473	93%	1.5	
The Key to Cryptography	2653	1489	56%	0.00	1493	1384	93%	1.6	
The Easiest Problem Is This One	10463	5750	55%	0.00	5268	4987	95%	1.6	
Speeding	497	375	75%	0.00	376	354	94%	1.6	
Patuljci	3054	1739	57%	0.00	1668	1574	94%	1.6	
Heir's Dilemma	2211	1410	64%	0.00	1166	1092	94%	1.6	
Falling Apart	4000	1792	45%	0.00	1603	1492	93%	1.6	
A New Alphabet	13258	5992	45%	0.00	5574	5157	93%	1.6
Veci	3295	1878	57%	0.00	1740	1630	94%	1.7	
Shopping List (Easy)	495	259	52%	0.00	249	232	93%	1.7	
Saving For Retirement	4451	2048	46%	0.00	1977	1848	93%	1.7	
Missing Numbers	5631	3060	54%	0.00	2768	2591	94%	1.7	
Inflation	2525	1341	53%	0.01	1094	1017	93%	1.7	
Hydra's Heads	1850	1013	55%	0.00	870	816	94%	1.7	
Hitting the Targets	2243	1297	58%	0.00	1262	1175	93%	1.7	
Flexible Spaces	8074	4448	55%	0.00	3568	3318	93%	1.7	
Erase Securely	6140	3170	52%	0.00	2928	2740	94%	1.7	
Death Knight Hero	5559	2815	51%	0.00	2723	2552	94%	1.7	
Cetiri	3164	1747	55%	0.00	1694	1572	93%	1.7	
Basketball One-on-One	5215	2721	52%	0.00	2344	2190	93%	1.7	
Baby Bites	4987	2561	51%	0.00	2422	2263	93%	1.7	
ABC	18780	8544	45%	0.00	8096	7347	91%	1.7	
Vauvau	2962	1728	58%	0.00	1702	1585	93%	1.8	
Un-bear-able Zoo	3937	2186	56%	0.00	2071	1924	93%	1.8	
ToLower	2389	1148	48%	0.00	1148	1065	93%	1.8	
Statistics	10298	4531	44%	0.00	4230	3937	93%	1.8	
Server	12260	5080	41%	0.00	4690	4357	93%	1.8	
Semafori	1636	1049	64%	0.00	1004	936	93%	1.8	
Secret Message	7972	4259	53%	0.00	3743	3464	93%	1.8	
Moscow Dream	4797	1775	37%	0.00	1545	1433	93%	1.8	
Howl	1997	1019	51%	0.00	872	814	93%	1.8	
Hiding Places	1537	996	65%	0.00	872	816	94%	1.8	
Friday the 13th	2937	1548	53%	0.00	1505	1404	93%	1.8	
Egypt	3921	1510	39%	0.00	1452	1313	90%	1.8	
Eeny Meeny	1397	841	60%	0.00	773	723	94%	1.8	
Cooking Water	1383	773	56%	0.00	741	693	94%	1.8	
Completing the Square	1789	1123	63%	0.00	983	917	93%	1.8	
Booking a Room	9371	4482	48%	0.00	4082	3812	93%	1.8	
Bacon, Eggs, and Spam	4709	2677	57%	0.00	2357	2194	93%	1.8	
Touchscreen Keyboard	1764	1060	60%	0.00	871	811	93%	1.9	
Red Rover	1079	637	59%	0.00	580	541	93%	1.9	
Peg	2058	1212	59%	0.00	1207	1115	92%	1.9	
Okviri	1319	695	53%	0.00	685	637	93%	1.9	
Oktalni	1769	994	56%	0.00	971	905	93%	1.9	
Math Homework	1208	625	52%	0.00	531	495	93%	1.9	
Mars Window	3081	1352	44%	0.00	1213	1134	93%	1.9	
Imperial Measurement	2430	1002	41%	0.00	916	849	93%	1.9	
Hot Hike	3229	1750	54%	0.00	1536	1427	93%	1.9	
GlitchBot	2349	1447	62%	0.00	1276	1183	93%	1.9	
Fun House	1773	985	56%	0.00	901	844	94%	1.9	
Costume Contest	1575	836	53%	0.00	820	758	92%	1.9	
Boss Battle	4771	2644	55%	0.00	2499	2318	93%	1.9	
Yoda	5376	2442	45%	0.00	2275	2066	91%	2.0	
Watchdog	823	463	56%	0.00	404	381	94%	2.0	
Warehouse	2705	1474	54%	0.00	1327	1235	93%	2.0	
Triangle Ornaments	446	305	68%	0.00	290	270	93%	2.0	
Train Passengers	9118	3005	33%	0.00	2636	2369	90%	2.0	
Social running	531	306	58%	0.00	306	289	94%	2.0	
Printing Costs	2364	1095	46%	0.00	1043	965	93%	2.0	
Okvir	1024	580	57%	0.00	561	528	94%	2.0	
Numbers On a Tree	6143	2837	46%	0.00	2428	2226	92%	2.0	
NOP	522	300	57%	0.00	293	273	93%	2.0	
Misa	1160	709	61%	0.00	648	606	94%	2.0	
Best Relay Team	7381	3357	45%	0.00	2396	2220	93%	2.0	
What does the fox say?	8823	3881	44%	0.00	3490	3158	90%	2.1	
Tram	450	262	58%	0.01	218	203	93%	2.1	
Temperature Confusion	1368	665	49%	0.00	602	558	93%	2.1	
Saving Daylight	2469	1337	54%	0.00	1283	1172	91%	2.1	
Primary Register	1516	963	64%	0.00	839	781	93%	2.1	
Lawn Mower	1401	752	54%	0.00	656	613	93%	2.1	
Jumbled Communication	1727	1125	65%	0.00	1012	944	93%	2.1	
Growling Gears	1665	825	50%	0.00	748	697	93%	2.1	
FBI Universal Control Numbers	1071	627	59%	0.00	549	512	93%	2.1	
Driver's Dilemma	848	416	49%	0.00	384	359	93%	2.1	
Dirty Driving	788	479	61%	0.01	423	394	93%	2.1	
The Backslash Problem	1015	521	51%	0.00	500	464	93%	2.2	
Snapper Chain (Hard)	1649	850	52%	0.00	726	678	93%	2.2	
Sanic	430	239	56%	0.00	239	222	93%	2.2	
Fast Food Prizes	1032	682	66%	0.00	575	538	94%	2.2	
Eb Alto Saxophone Player	1033	550	53%	0.00	460	428	93%	2.2	
Cracking RSA	1054	544	52%	0.00	431	402	93%	2.2	
Best Compression Ever	2074	1044	50%	0.00	941	880	94%	2.2	
Prime Path	1380	855	62%	0.00	599	556	93%	2.3	
Odds of Mia	466	276	59%	0.00	231	215	93%	2.3	
FizzBuzz	185	108	58%	0.01	106	100	94%	2.3	
Equal Sums (Easy)	1381	785	57%	0.00	642	602	94%	2.3	
Compositions	342	257	75%	0.00	241	226	94%	2.3	
Plotting Polynomials	359	285	79%	0.00	271	252	93%	2.4	
Jury Jeopardy	873	449	51%	0.00	394	366	93%	2.4	
H to O	1043	453	43%	0.00	352	328	93%	2.4	
Cookie Cutters	394	260	66%	0.00	244	228	93%	2.4	
Cardboard Container	658	353	54%	0.00	314	292	93%	2.4	
Pea Soup and Pancakes	4747	1762	37%	0.00	1473	1375	93%	2.5	
Snapper Chain (Easy)	1174	618	53%	0.00	582	523	90%	2.6	
Running Steps	416	229	55%	0.00	218	204	94%	2.7	
Chess	4058	1385	34%	0.00	1256	1092	87%	2.8	
Zyxab	171	63	37%	0.00	68	61	90%	2.9	
The Dragon of Loowater	3958	1302	33%	0.01	1269	1045	82%	3.0	
Guessing Game	4106	1175	29%	0.00	1201	1016	85%	3.0	
Path Tracing	3933	1165	30%	0.00	1027	881	86%	3.2	
Dominoes 2	4060	1313	32%	0.00	1088	924	85%	3.2	
Candy Division	4063	1166	29%	0.00	1165	964	83%	3.2	
A1 Paper	6493	1963	30%	0.00	1937	1545	80%	3.6	
Supercomputer	5336	1818	34%	0.02	1272	1065	84%	3.7	
Job Switching	79	51	65%	0.01	49	44	90%	4.2	
Ones	3937	1197	30%	0.00	1006	784	78%	4.3	
CD	40601	9077	22%	0.00	5416	3952	73%	4.9	
Three Digits	3992	753	19%	0.00	586	433	74%	6.0
